Week,Forecasted Net Sales
31,79.77607
32,78.625336
33,77.326294
34,75.18865
35,74.890495
36,74.66671
37,74.52178
38,74.481705
39,74.45813
40,74.44643
41,74.44201
42,74.43976
43,74.4387
